City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
463,Leninsk,RU,77.2,scattered clouds,48.7119,45.1994,Turbaza Odisseya
465,Umm Kaddadah,SD,86.43,overcast clouds,13.6017,26.6876,
471,Semnan,IR,85.84,clear sky,35.5729,53.3971,Semnan Tourist Hotel
476,Puerto Del Rosario,ES,73.15,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
478,Shelburne,CA,88.75,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
480,Abu Zabad,SD,78.39,overcast clouds,12.35,29.25,حامد محمد نور
481,Kupang,ID,74.14,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
483,Oussouye,SN,78.98,moderate rain,12.485,-16.5469,Auberge du Routard
484,Pueblo Nuevo,MX,72.21,overcast clouds,23.3833,-105.3833,
485,Turkan,AZ,77.18,scattered clouds,40.3639,50.215,Reshad
486,Kieta,PG,78.84,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
490,Lagoa,PT,73.56,light rain,39.05,-27.9833,Casa Das Faias
493,Kongoussi,BF,87.69,few clouds,13.3258,-1.5347,Hôtel La Sagesse
494,Tukrah,LY,80.6,clear sky,32.5341,20.5791,Lagrota restaurant
495,Along,IN,76.32,moderate rain,28.1667,94.7667,Hotel West
498,Nantucket,US,84.34,few clouds,41.2835,-70.0995,Jared Coffin House
500,Praya,CV,82.94,broken clouds,14.9215,-23.5087,LT Aparthotel
503,Tabou,CI,73.87,overcast clouds,4.423,-7.3528,hotêl doufoulougou
504,Avera,US,87.31,overcast clouds,33.194,-82.5271,
507,Vanimo,PG,76.6,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
512,Swift Current,CA,81.41,clear sky,50.2834,-107.8014,"Motel 6 Swift Current, SK"
514,Itoman,JP,82.42,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
516,Bonnyville,CA,76.8,clear sky,54.2668,-110.735,Best Western Bonnyville Inn & Suites
517,Sao Jose Da Coroa Grande,BR,75.02,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
518,Sola,VU,79.21,few clouds,-13.8833,167.55,Leumerus Bungalows
519,Ugoofaaru,MV,80.69,overcast clouds,5.6667,73.0,Ungoofaaru Inn
522,Bubaque,GW,79.74,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
525,Mehnagar,IN,86.0,scattered clouds,25.8833,83.1167,R.P. SAHAB
526,Taloqan,AF,76.35,clear sky,36.7361,69.5345,Saraisang street
529,San Quintin,MX,77.13,overcast clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
533,Manuk Mangkaw,PH,81.18,overcast clouds,4.8,119.85,
534,Amapa,BR,81.28,overcast clouds,1.0,-52.0,
535,Labuhan,ID,74.79,clear sky,-6.8844,112.2051,DoubleFAG
538,Poum,NC,74.62,clear sky,-20.2333,164.0167,
544,Port-Gentil,GA,73.36,few clouds,-0.7193,8.7815,Fengshui Residence
546,Ixtapa,MX,88.23,overcast clouds,20.7,-105.2,hotel la terminal
547,Goure,NE,86.02,light rain,13.9835,10.2704,
550,Lazurne,UA,77.5,clear sky,46.084,32.5295,New Manna Hostel
559,Diffa,NE,85.14,overcast clouds,13.3154,12.6113,ProDAF/Diffa
565,Lao Cai,VN,74.21,broken clouds,22.4833,103.95,Legend Hotel
567,Wanxian,CN,81.61,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
568,Gornoye Loo,RU,71.38,clear sky,43.7129,39.6049,«ВатерЛоо» гостиница
570,Trairi,BR,78.35,clear sky,-3.2778,-39.2689,janelas do mar
574,Tena,EC,78.51,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
575,Morondava,MG,71.55,clear sky,-20.2833,44.2833,La Case Bambou
578,Tuburan,PH,78.13,overcast clouds,6.6439,122.2736,GT Site
580,Hirara,JP,84.09,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
582,Cagmanaba,PH,78.67,overcast clouds,13.055,123.2971,Aplaya Des Condes Beach Resort
584,Mansa,IN,79.3,overcast clouds,29.9833,75.3833,STARiHOTEL Mansa
585,Nagapattinam,IN,80.83,overcast clouds,10.7667,79.8333,Sathya Lodge
587,Dwarka,IN,82.4,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
588,Huatulco,MX,86.86,overcast clouds,15.8436,-96.3267,Fonatur Operadora Portuaría
589,Benghazi,LY,81.81,clear sky,32.1167,20.0667,Tibesti Hotel
590,Ponta Delgada,PT,72.32,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
593,Warri,NG,76.01,overcast clouds,5.5167,5.75,GT Guesthouse
594,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
595,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Pirineos
597,Manicore,BR,87.75,clear sky,-5.8092,-61.3003,Hotel Durval
601,Acapulco,MX,87.62,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
602,Tateyama,JP,80.1,few clouds,34.9833,139.8667,Tateyama Seaside Hotel
603,Mogadishu,SO,75.52,overcast clouds,2.0371,45.3438,Hotel Juba
607,San Ignacio,BZ,75.34,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
609,Kastaneai,GR,74.59,clear sky,41.65,26.4667,Arslanlı Otel ve Dinlenme Tesisleri
610,Chabahar,IR,82.06,overcast clouds,25.2919,60.643,هتل گدروشیا
612,New Richmond,US,76.84,overcast clouds,45.123,-92.5366,Coratel Inn & Suites by Jasper New Richmond
613,Taicheng,CN,72.36,broken clouds,38.731,113.228,五台山康旅酒店
619,Banjar,ID,74.3,clear sky,-8.19,114.9675,The Hamsa Resort
620,Shinichi,JP,76.24,overcast clouds,34.55,133.2667,第4信和ビル
621,Changji,CN,79.59,clear sky,44.0167,87.3167,Lvye Holiday Resort
622,Jhelum,PK,83.19,overcast clouds,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
623,Tautira,PF,75.11,overcast clouds,-17.7333,-149.15,Pension Oaoa
627,Pemangkat,ID,76.71,broken clouds,1.1667,108.9667,Hotel Duyung Permai 2
628,Kalianget,ID,78.19,clear sky,-7.05,113.9333,Pesanggrahan Garam
629,Pingxiang,CN,78.24,scattered clouds,27.6167,113.85,Haiyuntian Hotel
631,Jalu,LY,82.9,clear sky,29.0331,21.5482,صاحبة الفخامة
633,Nishihara,JP,81.68,few clouds,26.1842,127.7558,Minshuku Agaihama
635,Kamaishi,JP,75.31,overcast clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
638,Paramirim,BR,79.25,scattered clouds,-13.4425,-42.2389,Pousada Rio Pequeno
639,Puerto Escondido,MX,85.44,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
640,Aleksandrov Gay,RU,80.42,overcast clouds,50.147,48.5704,Gostinitsa
641,Marang,MY,78.71,light rain,5.2056,103.2059,DBarakah Homestay
644,Uirauna,BR,80.17,clear sky,-6.5183,-38.4122,Estrela azul
647,Chardara,KZ,75.79,clear sky,41.2547,67.9692,Жанаргул
648,Nhulunbuy,AU,75.81,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
650,Upata,VE,79.2,overcast clouds,8.0086,-62.3989,Posada Villa Nela
651,Teo,ES,75.87,few clouds,42.75,-8.5,Casa Rural Paz
652,Weinan,CN,86.2,overcast clouds,34.5036,109.5089,Thank Inn Chain Hotel shanxi weinan linwei district jiefang road
653,Gizo,SB,81.63,broken clouds,-8.103,156.8419,Imagination Island
654,Dongsheng,CN,71.1,broken clouds,39.8161,109.9776,Crowne Plaza Ordos
655,Ratnagiri,IN,78.24,light rain,16.9833,73.3,Hotel Landmark
659,Puerto Ayacucho,VE,87.13,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
661,Hambantota,LK,78.06,overcast clouds,6.1241,81.1185,Bungalow 63
664,Miles City,US,80.22,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
667,Thinadhoo,MV,81.88,overcast clouds,0.5333,72.9333,
670,Ejido,VE,75.31,overcast clouds,8.5514,-71.2375,Bora Bora Nails & Spa C.A.
672,Patancheru,IN,74.26,heavy intensity rain,17.5314,78.265,Sri Ganapathi Lodge
676,Tshikapa,CD,78.91,overcast clouds,-6.4167,20.8,Tatem beach
677,Hare Bay,CA,83.55,broken clouds,48.8499,-54.0148,
679,Loa Janan,ID,71.42,overcast clouds,-0.583,117.095,Kost bu jono
683,Abonnema,NG,75.49,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
684,Iwanai,JP,71.55,overcast clouds,42.9744,140.5089,いわない高原ホテル
686,Goderich,CA,86.32,overcast clouds,43.7501,-81.7165,Harmony Inn
